jaar,gebiedcode15,variabele,waarde
2013,STAD,BEV45_49,58140
2014,STAD,BEV45_49,58106
2015,STAD,BEV45_49,57838
2016,STAD,BEV45_49,58311
2017,STAD,BEV45_49,58610
2018,STAD,BEV45_49,58457
2005,STAD,BEV4_11,60134
2006,STAD,BEV4_11,60004
2007,STAD,BEV4_11,59970
2008,STAD,BEV4_11,60532
2009,STAD,BEV4_11,61113
2010,STAD,BEV4_11,61874
2011,STAD,BEV4_11,62307
2012,STAD,BEV4_11,62662
2013,STAD,BEV4_11,63248
2014,STAD,BEV4_11,64251
2015,STAD,BEV4_11,65420
2016,STAD,BEV4_11,65813
2017,STAD,BEV4_11,65768
2018,STAD,BEV4_11,65196
2005,STAD,BEV4_12,67361
2006,STAD,BEV4_12,66898
2007,STAD,BEV4_12,66752
2008,STAD,BEV4_12,67046
2009,STAD,BEV4_12,67818
2010,STAD,BEV4_12,68811
2011,STAD,BEV4_12,69394
2012,STAD,BEV4_12,69802
2013,STAD,BEV4_12,70688
2014,STAD,BEV4_12,71679
2015,STAD,BEV4_12,72727
2016,STAD,BEV4_12,73311
2017,STAD,BEV4_12,73243
2018,STAD,BEV4_12,72821
2005,STAD,BEV4_12_P,9.1
2006,STAD,BEV4_12_P,9
2007,STAD,BEV4_12_P,9
2008,STAD,BEV4_12_P,9
2009,STAD,BEV4_12_P,9
2010,STAD,BEV4_12_P,9
2011,STAD,BEV4_12_P,8.9
2012,STAD,BEV4_12_P,8.8
2013,STAD,BEV4_12_P,8.8
2014,STAD,BEV4_12_P,8.8
2015,STAD,BEV4_12_P,8.8
2016,STAD,BEV4_12_P,8.8
2017,STAD,BEV4_12_P,8.7
2018,STAD,BEV4_12_P,8.5
2005,STAD,BEV50_54,46184
2006,STAD,BEV50_54,46458
2007,STAD,BEV50_54,47410
2008,STAD,BEV50_54,47833
2009,STAD,BEV50_54,49034
2010,STAD,BEV50_54,50121
2011,STAD,BEV50_54,51549
2012,STAD,BEV50_54,52562
2013,STAD,BEV50_54,53696
2014,STAD,BEV50_54,54684
2015,STAD,BEV50_54,55920
2016,STAD,BEV50_54,56049
2017,STAD,BEV50_54,56199
2018,STAD,BEV50_54,55890
2005,STAD,BEV55_59,42453
2006,STAD,BEV55_59,44549
2007,STAD,BEV55_59,42944
2008,STAD,BEV55_59,42335
2009,STAD,BEV55_59,42341
2010,STAD,BEV55_59,43007
2011,STAD,BEV55_59,43600
2012,STAD,BEV55_59,44813
2013,STAD,BEV55_59,45465
2014,STAD,BEV55_59,46961
2015,STAD,BEV55_59,48000
2016,STAD,BEV55_59,49579
2017,STAD,BEV55_59,50382
2018,STAD,BEV55_59,51645
2005,STAD,BEV5_11,51480
2006,STAD,BEV5_11,51478
2007,STAD,BEV5_11,51752
2008,STAD,BEV5_11,52188
2009,STAD,BEV5_11,52914
2010,STAD,BEV5_11,53453
2011,STAD,BEV5_11,54001
2012,STAD,BEV5_11,54108
2013,STAD,BEV5_11,54334
2014,STAD,BEV5_11,55066
2015,STAD,BEV5_11,56028
2016,STAD,BEV5_11,56807
2017,STAD,BEV5_11,57123
2018,STAD,BEV5_11,56857
2005,STAD,BEV5_9,37420
2006,STAD,BEV5_9,37892
2007,STAD,BEV5_9,38305
2008,STAD,BEV5_9,38402
2009,STAD,BEV5_9,38773
2010,STAD,BEV5_9,39091
2011,STAD,BEV5_9,39239
2012,STAD,BEV5_9,39073
2013,STAD,BEV5_9,39449
2014,STAD,BEV5_9,40129
2015,STAD,BEV5_9,40980
2016,STAD,BEV5_9,41635
2017,STAD,BEV5_9,41880
2018,STAD,BEV5_9,41600
2005,STAD,BEV60_64,29511
2006,STAD,BEV60_64,29413
2007,STAD,BEV60_64,32780
2008,STAD,BEV60_64,35590
2009,STAD,BEV60_64,37385
2010,STAD,BEV60_64,38545
2011,STAD,BEV60_64,40686
2012,STAD,BEV60_64,39650
2013,STAD,BEV60_64,39489
2014,STAD,BEV60_64,39584
2015,STAD,BEV60_64,40450
2016,STAD,BEV60_64,40998
2017,STAD,BEV60_64,42193
2018,STAD,BEV60_64,42855
2005,STAD,BEV65PLUS,83925
2006,STAD,BEV65PLUS,83884
2007,STAD,BEV65PLUS,83589
2008,STAD,BEV65PLUS,83610
2009,STAD,BEV65PLUS,84172
2010,STAD,BEV65PLUS,85440
2011,STAD,BEV65PLUS,86100
2012,STAD,BEV65PLUS,89582
2013,STAD,BEV65PLUS,92621
2014,STAD,BEV65PLUS,95289
2015,STAD,BEV65PLUS,97534
2016,STAD,BEV65PLUS,100150
2017,STAD,BEV65PLUS,102543
2018,STAD,BEV65PLUS,105586
2005,STAD,BEV65PLUS_P,11.3
2006,STAD,BEV65PLUS_P,11.3
2007,STAD,BEV65PLUS_P,11.2
2008,STAD,BEV65PLUS_P,11.2
2009,STAD,BEV65PLUS_P,11.1
2010,STAD,BEV65PLUS_P,11.1
2011,STAD,BEV65PLUS_P,11
2012,STAD,BEV65PLUS_P,11.3
2013,STAD,BEV65PLUS_P,11.6
2014,STAD,BEV65PLUS_P,11.7
2015,STAD,BEV65PLUS_P,11.9
2016,STAD,BEV65PLUS_P,12
2017,STAD,BEV65PLUS_P,12.1
2018,STAD,BEV65PLUS_P,12.4
2019,STAD,BEV65PLUS_PROG2018,107962
2020,STAD,BEV65PLUS_PROG2018,110953
2021,STAD,BEV65PLUS_PROG2018,113959
2022,STAD,BEV65PLUS_PROG2018,117254
2023,STAD,BEV65PLUS_PROG2018,120512
2024,STAD,BEV65PLUS_PROG2018,124143
2025,STAD,BEV65PLUS_PROG2018,127657
2026,STAD,BEV65PLUS_PROG2018,131478
2027,STAD,BEV65PLUS_PROG2018,135049
2028,STAD,BEV65PLUS_PROG2018,138931
2029,STAD,BEV65PLUS_PROG2018,142707
2030,STAD,BEV65PLUS_PROG2018,146588
2031,STAD,BEV65PLUS_PROG2018,149947
2032,STAD,BEV65PLUS_PROG2018,153084
2033,STAD,BEV65PLUS_PROG2018,156204
2034,STAD,BEV65PLUS_PROG2018,159282
2035,STAD,BEV65PLUS_PROG2018,162375
2036,STAD,BEV65PLUS_PROG2018,165371
2037,STAD,BEV65PLUS_PROG2018,168146
2038,STAD,BEV65PLUS_PROG2018,170737
2039,STAD,BEV65PLUS_PROG2018,172942
2005,STAD,BEV65_69,23053
2006,STAD,BEV65_69,23670
2007,STAD,BEV65_69,24081
2008,STAD,BEV65_69,24625
2009,STAD,BEV65_69,25250
2010,STAD,BEV65_69,26135
2011,STAD,BEV65_69,26198
2012,STAD,BEV65_69,29435
2013,STAD,BEV65_69,32045
2014,STAD,BEV65_69,33843
2015,STAD,BEV65_69,35010
2016,STAD,BEV65_69,36973
2017,STAD,BEV65_69,36159
2018,STAD,BEV65_69,36092
2005,STAD,BEV65_74,42388
2006,STAD,BEV65_74,42856
2007,STAD,BEV65_74,43141
2008,STAD,BEV65_74,43483
2009,STAD,BEV65_74,44501
2010,STAD,BEV65_74,45906
2011,STAD,BEV65_74,46756
2012,STAD,BEV65_74,50448
2013,STAD,BEV65_74,53736
2014,STAD,BEV65_74,56214
2015,STAD,BEV65_74,58154
2016,STAD,BEV65_74,60232
2017,STAD,BEV65_74,62219
2018,STAD,BEV65_74,64462
2018,STAD,BEV65_79,82687
2018,STAD,BEV65_79NL,51809
2018,STAD,BEV65_79NL_P,63
2018,STAD,BEV65_79NW,18443
2018,STAD,BEV65_79NW_P,22
2018,STAD,BEV65_79W,12435
2018,STAD,BEV65_79W_P,15
2005,STAD,BEV70_74,19335
2006,STAD,BEV70_74,19186
2007,STAD,BEV70_74,19060
2008,STAD,BEV70_74,18858
2009,STAD,BEV70_74,19251
2010,STAD,BEV70_74,19771
2011,STAD,BEV70_74,20558
2012,STAD,BEV70_74,21013
2013,STAD,BEV70_74,21691
2014,STAD,BEV70_74,22371
2015,STAD,BEV70_74,23144
2016,STAD,BEV70_74,23259
2017,STAD,BEV70_74,26060
2018,STAD,BEV70_74,28370
2005,STAD,BEV75PLUS,41537
2006,STAD,BEV75PLUS,41028
2007,STAD,BEV75PLUS,40448
2008,STAD,BEV75PLUS,40127
2009,STAD,BEV75PLUS,39671
2010,STAD,BEV75PLUS,39534
2011,STAD,BEV75PLUS,39344
2012,STAD,BEV75PLUS,39134
2013,STAD,BEV75PLUS,38885
2014,STAD,BEV75PLUS,39075
2015,STAD,BEV75PLUS,39380
2016,STAD,BEV75PLUS,39918
2017,STAD,BEV75PLUS,40324
